Owner,State,County,Country_Code,Acres,Acq_Year,Lat,Lng,Miles_Away,Nearest_Base,Base_Type,China_Flag,Iran_Flag,Russia_Flag,NK_Flag
"THUNDER RANCH WIND PROJECT, LLC",Oklahoma,Noble,999 - NO PREDOMINANT COUNTRY CODE,76.0,2016.0,36.3886,-97.2305,49.7,"Tinker AFB, OK",Air Force,,,,
"THUNDER RANCH WIND PROJECT, LLC",Oklahoma,Noble,999 - NO PREDOMINANT COUNTRY CODE,80.0,2016.0,36.3886,-97.2305,49.7,"Tinker AFB, OK",Air Force,,,,
"THUNDER RANCH WIND PROJECT, LLC",Oklahoma,Noble,999 - NO PREDOMINANT COUNTRY CODE,80.0,2016.0,36.3886,-97.2305,49.7,"Tinker AFB, OK",Air Force,,,,
"THUNDER RANCH WIND PROJECT, LLC",Oklahoma,Noble,999 - NO PREDOMINANT COUNTRY CODE,80.0,2016.0,36.3886,-97.2305,49.7,"Tinker AFB, OK",Air Force,,,,
"THUNDER RANCH WIND PROJECT, LLC",Oklahoma,Noble,999 - NO PREDOMINANT COUNTRY CODE,65.0,2016.0,36.3886,-97.2305,49.7,"Tinker AFB, OK",Air Force,,,,
"THUNDER RANCH WIND PROJECT, LLC",Oklahoma,Noble,999 - NO PREDOMINANT COUNTRY CODE,55.0,2016.0,36.3886,-97.2305,49.7,"Tinker AFB, OK",Air Force,,,,
"THUNDER RANCH WIND PROJECT, LLC",Oklahoma,Noble,999 - NO PREDOMINANT COUNTRY CODE,60.0,2016.0,36.3886,-97.2305,49.7,"Tinker AFB, OK",Air Force,,,,
"THUNDER RANCH WIND PROJECT, LLC",Oklahoma,Noble,999 - NO PREDOMINANT COUNTRY CODE,48.0,2016.0,36.3886,-97.2305,49.7,"Tinker AFB, OK",Air Force,,,,
"THUNDER RANCH WIND PROJECT, LLC",Oklahoma,Noble,999 - NO PREDOMINANT COUNTRY CODE,40.0,2016.0,36.3886,-97.2305,49.7,"Tinker AFB, OK",Air Force,,,,
"THUNDER RANCH WIND PROJECT, LLC",Oklahoma,Noble,999 - NO PREDOMINANT COUNTRY CODE,38.0,2016.0,36.3886,-97.2305,49.7,"Tinker AFB, OK",Air Force,,,,
"THUNDER RANCH WIND PROJECT, LLC",Oklahoma,Noble,999 - NO PREDOMINANT COUNTRY CODE,10.0,2016.0,36.3886,-97.2305,49.7,"Tinker AFB, OK",Air Force,,,,
"THUNDER RANCH WIND PROJECT, LLC",Oklahoma,Noble,999 - NO PREDOMINANT COUNTRY CODE,280.0,2016.0,36.3886,-97.2305,49.7,"Tinker AFB, OK",Air Force,,,,
HTFF Reit Inc,Florida,Flagler,998 - NO FOREIGN INVESTOR LISTED,3937.0,2018.0,29.4614,-81.3136,49.8,"Camp Blanding, FL",Army,,,,
