Owner,State,County,Country_Code,Acres,Acq_Year,Lat,Lng,Miles_Away,Nearest_Base,Base_Type,China_Flag,Iran_Flag,Russia_Flag,NK_Flag
"Anson Solar Center, LLC",Texas,Jones,998 - NO FOREIGN INVESTOR LISTED,162.0,2019.0,32.7399,-99.8788,24.7,"Dyess AFB, TX",Air Force,,,,
"Anson Solar Center, LLC",Texas,Jones,998 - NO FOREIGN INVESTOR LISTED,160.0,2019.0,32.7399,-99.8788,24.7,"Dyess AFB, TX",Air Force,,,,
"Anson Solar Center, LLC",Texas,Jones,998 - NO FOREIGN INVESTOR LISTED,160.0,2019.0,32.7399,-99.8788,24.7,"Dyess AFB, TX",Air Force,,,,
"Anson Solar Center, LLC",Texas,Jones,998 - NO FOREIGN INVESTOR LISTED,147.0,2019.0,32.7399,-99.8788,24.7,"Dyess AFB, TX",Air Force,,,,
"Anson Solar Center, LLC",Texas,Jones,998 - NO FOREIGN INVESTOR LISTED,132.0,2019.0,32.7399,-99.8788,24.7,"Dyess AFB, TX",Air Force,,,,
"Anson Solar Center, LLC",Texas,Jones,998 - NO FOREIGN INVESTOR LISTED,103.0,2019.0,32.7399,-99.8788,24.7,"Dyess AFB, TX",Air Force,,,,
ROCKHILL FARMS L.P.,Virginia,Stafford,999 - NO PREDOMINANT COUNTRY CODE,103.0,1987.0,38.4207,-77.458,26.4,"Fort Belvoir, VA",Army,,,,
"MT PROPERTIES, LLC",Georgia,Chatham,999 - NO PREDOMINANT COUNTRY CODE,325.0,2012.0,32.0043,-81.1329,26.6,"Fort Stewart, GA",Army,,,,
Blenheim Timber LLC,Georgia,Harris,998 - NO FOREIGN INVESTOR LISTED,103.0,2016.0,32.736,-84.9089,26.7,"Fort Moore, GA",Army,,,,
EVERGREEN TIMBERLANDS CORP.,Georgia,Harris,998 - NO FOREIGN INVESTOR LISTED,120.0,1982.0,32.736,-84.9089,26.7,"Fort Moore, GA",Army,,,,
MOOSA CREEK MITIGTION HOLDINGS LLC,California,San Diego,999 - NO PREDOMINANT COUNTRY CODE,71.2,2017.0,33.0343,-116.735,26.7,"NAS North Island, CA",Air Force,,,,
B.M.K. RANCHES,Florida,Lake,999 - NO PREDOMINANT COUNTRY CODE,756.0,1981.0,28.7615,-81.7113,27.8,"Camp Blanding, FL",Army,,,,
"MIDDLETON, K.",Florida,Lake,999 - NO PREDOMINANT COUNTRY CODE,50.0,1979.0,28.7615,-81.7113,27.8,"Camp Blanding, FL",Army,,,,
B.M.K. RANCHES,Florida,Lake,999 - NO PREDOMINANT COUNTRY CODE,50.0,1985.0,28.7615,-81.7113,27.8,"Camp Blanding, FL",Army,,,,
MARINELAND AMUSEMENT CORP.,California,Los Angeles,998 - NO FOREIGN INVESTOR LISTED,102.0,1982.0,34.3219,-118.2247,28.2,"Los Angeles AFB, CA",Air Force,,,,
HTFF Reit Inc,Alabama,Chilton,998 - NO FOREIGN INVESTOR LISTED,1560.0,2018.0,32.8479,-86.7188,28.3,"Maxwell AFB, AL",Air Force,,,,
"FIA TIMBER PARTNERS II, LP",Alabama,Chilton,999 - NO PREDOMINANT COUNTRY CODE,375.0,2013.0,32.8479,-86.7188,28.3,"Maxwell AFB, AL",Air Force,,,,
Evergreen Timber Co. AL LLC,Alabama,Chilton,999 - NO PREDOMINANT COUNTRY CODE,6891.76,2020.0,32.8479,-86.7188,28.3,"Maxwell AFB, AL",Air Force,,,,
Tamarack Timber Co.  AL.  LLC,Alabama,Chilton,999 - NO PREDOMINANT COUNTRY CODE,5552.61,2020.0,32.8479,-86.7188,28.3,"Maxwell AFB, AL",Air Force,,,,
Shades Mountain Timber Co.  AL LLC,Alabama,Chilton,999 - NO PREDOMINANT COUNTRY CODE,2994.07,2020.0,32.8479,-86.7188,28.3,"Maxwell AFB, AL",Air Force,,,,
